title,link,snippet,position,rating,ratingCount
Free Online Poker Games - Play Poker Online at Zynga Poker,https://zyngapoker.com/,"Free Texas Holdem Poker the way YOU want to play! Join the world's most popular online Poker game with more tables, more Poker tournaments, and more people ...",1,,
POKERHEBAT | IDN Poker | Poker Online | IDN Play,https://www.wliquors.com/coupons,Idn poker merupakan permainan poker online yang menyediakan jumlah hadiah jackpot terbesar yang pernah ada di situs poker online di Indonesia.,2,5,14385456
Luxy Poker-Online Texas Poker - Aplikasi di Google Play,https://play.google.com/store/apps/details?id=com.gamesofa.android.luxytexasholdem&hl=id,"【Poker Game paling eksklusif di Indonesia, direkomendasikan oleh jutaan pemain】 Segera download Texas Poker Game ini - Luxy Poker ,bersaing bersama pemain ...",3,4.1,425251
Poker Patio - Play Free Online Poker - Play With Friends,https://pokerpatio.com/,"Poker Patio was created to make online poker simple and fun for everyone. Whether you are new to poker or have years of experience, it is a great place to test ...",4,,
Play Online Poker | PokerStars™ – Trusted for 20+ Years,https://www.pokerstars.com/,"If you're new to online poker, we're here to help you learn. From hand rankings to basic rules and strategies, find everything you need to get started.",5,,
Game Kartu 🕹️ Mainkan di CrazyGames,https://www.crazygames.co.id/t/kartu,"Mainkan berbagai permainan kartu yang menyenangkan di browser web Anda, yang menampilkan permainan klasik seperti remi, poker, solitaire (kesabaran), dan Uno!",6,,
Poker Online - Apps on Google Play,https://play.google.com/store/apps/details?id=com.rstgames.poker,"Poker online is a set of popular poker games (Texas Hold'em, Omaha, 7-Stud, Draw poker). Play online with friends or random players from around the world.",7,3.5,19891
Free Poker – Play Official WSOP Games Online Now,https://www.playwsop.com/,"Enjoy the #1 trusted free poker game by WSOP. Play Texas Hold'em, win collectibles, and connect with players worldwide - it's free!",8,,
888 Poker™ Online Poker | Play poker with £50 welcome bonus,https://www.888poker.com/,888poker is one of the world's largest and most reliable poker networks. We are a dedicated team of professionals who place our players at the heart of ...,9,,
Zynga Poker ™ - Texas Hold'em - App Store - Apple,https://apps.apple.com/us/app/zynga-poker-texas-holdem/id354902315,"Join a Sit n Go game or a casual online poker game, and win generous in-game payouts! 5 player or 9 player, fast or slow, join the table and stakes you want.",10,4.5,128193
Poker Now - Poker with Friends,https://www.pokernow.club/,Free online poker with friends! No download and no registration needed. Private online home game poker up to 10 people with video/voice chat.,1,,
"Free Poker Online 🏆 Play Now, No Download | Replay Poker",https://www.casino.org/replaypoker/,"Replay Poker is one of the top rated free online poker sites. Whether you are new to poker or a pro our community provides a wide selection of low, medium, and ...",2,,
