title,link,snippet,position,rating,ratingCount
"40 Perusahaan Startup di Indonesia, Ini Daftar Lengkapnya!",https://indogencapital.com/perusahaan-startup-di-indonesia/,"Perusahaan startup di Indonesia sangat banyak, seperti Tokopedia, Bukalapak, Blibli, Gojek, Traveloka, OVO, DANA, Ajaib, Xendit, Carsome, ...",1,,
961 Startup Teratas di Indonesia pada September 2025,https://translate.google.com/translate?u=https://www.startupblink.com/top-startups/indonesia&hl=id&sl=en&tl=id&client=srp,"Jelajahi 961 Startup teratas di Indonesia, termasuk GoPlay, Halodoc, dan Ruangguru, yang diberi peringkat berdasarkan investasi, jumlah karyawan, ...Indonesia startup ecosystem ranks #45 globally and #3 in South East Asia. Download the Global Startup Ecosystem Index 2025. Powered by: Category: Startups.",2,,
5 Fakta Menakjubkan Startup di Indonesia yang Wajib ...,https://baktikomdigi.id/id/detail-berita/5-fakta-menakjubkan-startup-di-indonesia-yang-wajib-anda-tahu,5 Fakta Menakjubkan Startup di Indonesia yang Wajib Anda Tahu · 1. Startup di Indonesia Didominasi Generasi Millenial · 2. Sosial Media Sebagai Ujung Tombak ...,3,,
7 Contoh Bisnis Startup di Indonesia Beserta Pendirinya,https://www.cakrawala.ac.id/berita/contoh-bisnis-startup-indonesia,7 Contoh Bisnis Startup di Indonesia · 1. Gojek · 2. Tokopedia · 3. Traveloka · 4. Ruangguru · 5. Halodoc · 6. Bukalapak · 7. OVO. Ovo adalah contoh bisnis ...,4,,
10 Startup Terbaik di Indonesia di tahun 2024,https://www.linkedin.com/pulse/linkedin-top-startups-2024-10-perusahaan-indonesia-kyvic,1. MySkill · 2. TOMORO COFFEE · 3. SawitPRO · 4. Dealls · 5. PT Sahabat Mikro Fintek (Samir) · 6. Gently · 7. AGAVI · 8. Chickin Indonesia.,5,,
StartupIndonesia.co (@startupindonesia_co),https://www.instagram.com/startupindonesia_co/,"We democratize network, capital, & knowledge for startups with socio-economic impact in Indonesia. Photo by StartupIndonesia.co on November 17, 2025.",6,,
Startup For Industry - Indonesia Percaya Diri Dengan ...,https://www.startup4industry.id/,Supermarket Startup. Adalah sebuah pusat layanan dari Startup4industry untuk industri dan masyarakat yang mencari solusi atau teknologi dari startup Indonesia.,7,,
1000 Startup Digital: Beranda,https://1000startupdigital.id/,#1000StartupDigital adalah program pembinaan bagi kamu yang ingin membuat solusi teknologi bagi berbagai permasalahan di Indonesia melalui membangun startup ...,8,,
Ini 10 Startup Indonesia yang Sukses di Pasar Internasional,https://www.doku.com/blog/ini-10-startup-indonesia-yang-sukses-di-pasar-internasional,Daftar 10 Startup Indonesia yang Jadi Raksasa Baru · 1. Go-jek · 2. Traveloka · 3. HijUp · 4. OVO · 5. Sociolla · 6. Happy Fresh · 7. Tokopedia.,9,,
Jumlah Startup di Indonesia Ratusan atau Ribuan?,https://www.komdigi.go.id/berita/pengumuman/detail/jumlah-startup-di-indonesia-ratusan-atau-ribuan,"Sebanyak 60,89 persen atau 604 startup berdiri pada 2013 hingga 2018. Mayoritas startup itu berbadan usaha dalam bentuk perseroan terbatas (PT) dengan total ...",10,,
